car_acid_*C1_NMR_shift,car_acid_*C1_electrostatic_charge,car_acid_*C2_NMR_shift,car_acid_*C2_electrostatic_charge,car_acid_*O1_electrostatic_charge,car_acid_*O2_electrostatic_charge,car_acid_E_HOMO,car_acid_E_LUMO,car_acid_V1_frequency,car_acid_V1_intensity,car_acid_V2_frequency,car_acid_V2_intensity,car_acid_V3_frequency,car_acid_V3_intensity,car_acid_dipole_moment,car_acid_electronegativity,car_acid_hardness,car_acid_molecular_volume,car_acid_molecular_weight,car_acid_ovality,car_acid_surface_area,name
154.6,0.782,20.97,-0.796,-0.467,-0.588,-0.2725,0.0093,594.617,6.743,1420.416,48.971,3182.266,4.236,4.298549,0.13,0.14,61.54,60.052,1.115,84.05,yisuan
157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,bingsuan
151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,bingxisuan
158.33,0.675,36.73,-0.475,-0.467,-0.548,-0.2708,0.0118,1295.578,272.452,1057.789,1.312,3015.452,16.08,4.134834,0.13,0.14,98.34,88.106,1.205,124.18,dingsuan
158.32,0.702,35.84,-0.372,-0.467,-0.562,-0.2702,0.0123,1275.058,75.765,1073.209,0.895,3008.732,10.047,4.13364,0.13,0.14,135.22,116.16,1.293,164.74,zhengjisuan
158.45,0.736,30.13,-0.449,-0.469,-0.57,-0.256,-0.0223,1298.511,168.421,1413.944,61.331,3050.253,2.079,2.076552,0.14,0.12,119.34,116.116,1.254,146.98,yixianbingsuan
154.88,0.53,125.45,-0.001,-0.424,-0.511,-0.2651,-0.0511,650.434,8.728,1542.254,3.507,3190.362,1.465,4.779063,0.16,0.11,126.94,122.123,1.185,144.73,benjiasuan
154.0,0.547,123.65,-0.025,-0.424,-0.513,-0.2659,-0.0621,692.349,5.496,1536.787,19.133,3227.429,1.849,3.360393,0.16,0.1,140.62,156.568,1.227,160.46,duilvbenjiasuan
154.23,0.601,117.52,-0.152,-0.449,-0.533,-0.2375,-0.0395,603.984,21.719,1564.671,41.897,1521.741,6.465,5.363267,0.14,0.1,154.01,152.149,1.255,174.43,duijiayangjibenjiasuan
153.85,0.588,121.4,-0.334,-0.426,-0.513,-0.2716,-0.0651,672.704,9.082,1646.544,45.82,1624.927,9.018,3.093074,0.17,0.1,120.57,123.111,1.181,139.39,yansuan
154.22,0.472,131.32,0.34,-0.403,-0.499,-0.2737,-0.0731,647.908,18.456,1539.148,4.166,1616.235,19.806,2.888762,0.17,0.1,120.62,123.111,1.182,139.57,yiyansuan
155.42,0.669,125.39,-0.243,-0.463,-0.547,-0.2602,-0.0431,649.635,5.64,1662.027,26.936,3218.425,7.559,5.201237,0.15,0.11,174.31,180.159,1.286,194.03,yixianshuiyangsuan
